item,itemLabel,ISO639_1,ISO639_2,ISO639_3,country,countryLabel
http://www.wikidata.org/entity/Q652,Italian,it,ita,ita,http://www.wikidata.org/entity/Q238,San Marino
http://www.wikidata.org/entity/Q809,Polish,pl,pol,pol,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q1321,Spanish,es,spa,spa,http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q1321,Spanish,es,spa,spa,http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q1321,Spanish,es,spa,spa,http://www.wikidata.org/entity/Q96,Mexico
http://www.wikidata.org/entity/Q1321,Spanish,es,spa,spa,http://www.wikidata.org/entity/Q241,Cuba
http://www.wikidata.org/entity/Q1412,Finnish,fi,fin,fin,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q27,Republic of Ireland
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q233,Malta
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q242,Belize
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q244,Barbados
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q967,Burundi
http://www.wikidata.org/entity/Q5111,Abkhaz,ab,abk,abk,http://www.wikidata.org/entity/Q230,Georgia
http://www.wikidata.org/entity/Q5146,Portuguese,pt,por,por,http://www.wikidata.org/entity/Q45,Portugal
http://www.wikidata.org/entity/Q5146,Portuguese,pt,por,por,http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q5287,Japanese,ja,jpn,jpn,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q6654,Croatian,hr,hrv,hrv,http://www.wikidata.org/entity/Q224,Croatia
http://www.wikidata.org/entity/Q6654,Croatian,hr,hrv,hrv,http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina
http://www.wikidata.org/entity/Q7026,Catalan,ca,cat,cat,http://www.wikidata.org/entity/Q228,Andorra
http://www.wikidata.org/entity/Q7411,Dutch,nl,dut,nld,http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q7737,Russian,ru,rus,rus,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q7737,Russian,ru,rus,rus,http://www.wikidata.org/entity/Q184,Belarus
http://www.wikidata.org/entity/Q7737,Russian,ru,rus,rus,http://www.wikidata.org/entity/Q232,Kazakhstan
http://www.wikidata.org/entity/Q7838,Swahili,sw,swa,swa,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q7850,Chinese,zh,chi,zho,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q7913,Romanian,ro,ron,ron,http://www.wikidata.org/entity/Q217,Moldova
http://www.wikidata.org/entity/Q7913,Romanian,ro,ron,ron,http://www.wikidata.org/entity/Q218,Romania
http://www.wikidata.org/entity/Q7918,Bulgarian,bg,bul,bul,http://www.wikidata.org/entity/Q219,Bulgaria
http://www.wikidata.org/entity/Q8108,Georgian,ka,kat,kat,http://www.wikidata.org/entity/Q230,Georgia
http://www.wikidata.org/entity/Q8748,Albanian,sq,alb,sqi,http://www.wikidata.org/entity/Q221,North Macedonia
http://www.wikidata.org/entity/Q8748,Albanian,sq,alb,sqi,http://www.wikidata.org/entity/Q222,Albania
http://www.wikidata.org/entity/Q8798,Ukrainian,uk,ukr,ukr,http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q8821,Montenegrin,,cnr,cnr,http://www.wikidata.org/entity/Q236,Montenegro
http://www.wikidata.org/entity/Q9027,Swedish,sv,swe,swe,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q9027,Swedish,sv,swe,swe,http://www.wikidata.org/entity/Q34,Sweden
http://www.wikidata.org/entity/Q9035,Danish,da,dan,dan,http://www.wikidata.org/entity/Q35,Denmark
http://www.wikidata.org/entity/Q9043,Norwegian,no,nor,nor,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q9051,Luxembourgish,lb,ltz,ltz,http://www.wikidata.org/entity/Q32,Luxembourg
http://www.wikidata.org/entity/Q9058,Slovak,sk,slo,slk,http://www.wikidata.org/entity/Q214,Slovakia
http://www.wikidata.org/entity/Q9056,Czech,cs,cze,ces,http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q9063,Slovene,sl,slv,slv,http://www.wikidata.org/entity/Q215,Slovenia
http://www.wikidata.org/entity/Q9067,Hungarian,hu,hun,hun,http://www.wikidata.org/entity/Q28,Hungary
http://www.wikidata.org/entity/Q9072,Estonian,et,est,est,http://www.wikidata.org/entity/Q191,Estonia
http://www.wikidata.org/entity/Q9078,Latvian,lv,lav,lav,http://www.wikidata.org/entity/Q211,Latvia
http://www.wikidata.org/entity/Q9083,Lithuanian,lt,lit,lit,http://www.wikidata.org/entity/Q37,Lithuania
http://www.wikidata.org/entity/Q9091,Belarusian,be,bel,bel,http://www.wikidata.org/entity/Q184,Belarus
http://www.wikidata.org/entity/Q9129,Greek,el,,ell,http://www.wikidata.org/entity/Q41,Greece
http://www.wikidata.org/entity/Q9129,Greek,el,,ell,http://www.wikidata.org/entity/Q229,Cyprus
http://www.wikidata.org/entity/Q9142,Irish,ga,gle,gle,http://www.wikidata.org/entity/Q27,Republic of Ireland
http://www.wikidata.org/entity/Q9166,Maltese,mt,mlt,mlt,http://www.wikidata.org/entity/Q233,Malta
http://www.wikidata.org/entity/Q9240,Indonesian,id,ind,ind,http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q9252,Kazakh,kk,kaz,kaz,http://www.wikidata.org/entity/Q232,Kazakhstan
http://www.wikidata.org/entity/Q9292,Azerbaijani,az,aze,aze,http://www.wikidata.org/entity/Q227,Azerbaijan
http://www.wikidata.org/entity/Q9299,Serbian,sr,srp,srp,http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina
http://www.wikidata.org/entity/Q9296,Macedonian,mk,mac,mkd,http://www.wikidata.org/entity/Q221,North Macedonia
http://www.wikidata.org/entity/Q9303,Bosnian,bs,bos,bos,http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina
http://www.wikidata.org/entity/Q13199,Romansh,rm,roh,roh,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q13300,Nahuatl,,nah,,http://www.wikidata.org/entity/Q96,Mexico
http://www.wikidata.org/entity/Q13330,Mirandese,,mwl,mwl,http://www.wikidata.org/entity/Q45,Portugal
http://www.wikidata.org/entity/Q13354,Yucatec Maya,,,yua,http://www.wikidata.org/entity/Q96,Mexico
http://www.wikidata.org/entity/Q13955,Arabic,ar,ara,ara,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q13955,Arabic,ar,ara,ara,http://www.wikidata.org/entity/Q970,Comoros
http://www.wikidata.org/entity/Q25167,Bokmål,nb,nob,nob,http://www.wikidata.org/entity/Q20,Norway
